iter	RMSE
0	4.248991897
1	3.877205897
2	3.548878513
3	3.259269233
4	3.001553101
5	2.77631119
6	2.579358055
7	2.407628766
8	2.259028509
9	2.128266433
10	2.017731316
11	1.913772426
12	1.826090394
13	1.754204098
14	1.695701963
15	1.638352031
16	1.593877999
17	1.557821712
18	1.523978791
19	1.493658461
20	1.471562234
21	1.453916747
22	1.438441941
23	1.425278875
24	1.415774758
25	1.406569602
26	1.399842133
27	1.389921572
28	1.382090948
29	1.375301432
30	1.371776941
31	1.366428713
32	1.361778059
33	1.359534715
34	1.356452581
35	1.353928685
36	1.350501582
37	1.348017922
38	1.345799714
39	1.343575639
40	1.341937083
41	1.340778007
42	1.339311113
43	1.338167919
44	1.336420894
45	1.334987363
46	1.333703818
47	1.332638313
48	1.331695238
49	1.33049335
50	1.329390855
51	1.327682011
52	1.32651276
53	1.325565265
54	1.32474413
55	1.323851195
56	1.3226648
57	1.321992358
58	1.321281455
59	1.319712843
60	1.318869647
61	1.318278198
62	1.317661173
63	1.316614451
64	1.315738826
65	1.31467775
66	1.314022385
67	1.313622938
68	1.312946572
69	1.311953207
70	1.311330815
71	1.310865155
72	1.310348809
73	1.309867779
74	1.309477993
75	1.30867572
76	1.307888015
77	1.307400122
78	1.306663271
79	1.306371405
80	1.305602036
81	1.305192569
82	1.304513475
83	1.304143392
84	1.303237502
85	1.302832313
86	1.302115195
87	1.301422379
88	1.300800597
89	1.300081742
90	1.299632318
91	1.298947945
92	1.298251539
93	1.297449393
94	1.296960406
95	1.296422555
96	1.295629081
97	1.294744507
98	1.29409719
99	1.293340213
100	1.292821751
101	1.292196523
102	1.29150842
103	1.291002006
104	1.290641884
105	1.290187102
106	1.289800326
107	1.288790149
108	1.288263844
109	1.287682595
110	1.287180045
111	1.286704505
112	1.285733876
113	1.285486666
114	1.285021825
115	1.284094508
116	1.283643669
117	1.283177119
118	1.28277392
119	1.282159991
120	1.281240866
121	1.280580201
122	1.280010566
123	1.279461084
124	1.278974996
125	1.278386646
126	1.278004136
127	1.277447545
128	1.277041526
129	1.276414797
130	1.275586932
131	1.274942793
132	1.274390275
133	1.27371917
134	1.273159302
135	1.272467918
136	1.271631937
137	1.271084723
138	1.270458379
139	1.270017995
140	1.269503273
141	1.269081053
142	1.268595983
143	1.267786327
144	1.267315598
145	1.266678861
146	1.266126351
147	1.265482791
148	1.265012569
149	1.264674804
150	1.264044591
151	1.263415066
152	1.262901187
153	1.262320051
154	1.261913029
155	1.261438018
156	1.261007745
157	1.260412655
158	1.259912974
159	1.259481563
160	1.259104609
161	1.258472479
162	1.257833523
163	1.257725324
164	1.257110361
165	1.256629092
166	1.256348014
167	1.255975607
168	1.255711246
169	1.25529741
170	1.254738333
171	1.254338559
172	1.253997882
173	1.253347476
174	1.252704084
175	1.251785153
176	1.251302581
177	1.250940751
178	1.250391992
179	1.250067655
180	1.2495392
181	1.249127459
182	1.248614785
183	1.248283036
184	1.247763675
185	1.247223336
186	1.246804976
187	1.246279936
188	1.246188895
189	1.245704652
190	1.24519616
191	1.244757289
192	1.24433997
193	1.244026883
194	1.243418242
195	1.242957888
196	1.242456069
197	1.242031302
198	1.241483125
199	1.240931359
200	1.240694665
201	1.240012122
202	1.239823719
203	1.239379532
204	1.238923545
205	1.238513815
206	1.238051574
207	1.237321882
208	1.236638453
209	1.236217223
210	1.235941938
211	1.235493766
212	1.235079444
213	1.234633303
214	1.234249324
215	1.23391441
216	1.233417373
217	1.233225779
218	1.232823149
219	1.23254215
220	1.232046657
221	1.231540238
222	1.231061579
223	1.230636989
224	1.230286832
225	1.22977928
226	1.229284534
227	1.228724233
228	1.22844788
229	1.228014946
230	1.227648243
231	1.227476229
232	1.227046255
233	1.226329055
234	1.225879729
235	1.225445451
236	1.224915969
237	1.224478946
238	1.223920739
239	1.223419498
240	1.223058587
241	1.222770093
242	1.222410771
243	1.221844022
244	1.221186282
245	1.220709166
246	1.22003394
247	1.219491348
248	1.21896691
249	1.218435797
250	1.21805059
251	1.21753655
252	1.216972199
253	1.216596923
254	1.21622331
255	1.215622564
256	1.215170366
257	1.214508515
258	1.214167481
259	1.213811112
260	1.213414341
261	1.213158033
262	1.212815368
263	1.212369325
264	1.211985698
265	1.211738857
266	1.211335321
267	1.211130382
268	1.210915304
269	1.210224983
270	1.209720623
271	1.209115602
272	1.208854012
273	1.208384674
274	1.207980089
275	1.207692984
276	1.207174715
277	1.206743411
278	1.206197914
279	1.205599093
280	1.205439084
281	1.205118364
282	1.204689482
283	1.204285256
284	1.203972944
285	1.203360138
286	1.202698412
287	1.201886132
288	1.201483294
289	1.201115718
290	1.20065815
291	1.200091955
292	1.199674126
293	1.19923149
294	1.198640592
295	1.19814289
296	1.197397331
297	1.19688913
298	1.196629934
299	1.196172418
