iter	Passed	Remaining
0	1	531
1	2	417
2	4	421
3	5	418
4	7	416
5	8	417
6	9	410
7	11	412
8	12	409
9	13	405
10	15	403
11	16	401
12	17	397
13	19	396
14	20	397
15	22	395
16	23	394
17	25	391
18	26	389
19	27	387
20	29	386
21	30	384
22	31	383
23	33	381
24	34	380
25	36	379
26	37	378
27	38	376
28	40	374
29	41	373
30	42	372
31	44	371
32	45	370
33	47	368
34	48	366
35	49	364
36	51	363
37	52	363
38	54	362
39	55	361
40	56	359
41	58	358
42	59	356
43	61	356
44	62	355
45	64	354
46	65	353
47	66	351
48	68	350
49	69	349
50	71	348
51	72	346
52	73	344
53	75	342
54	76	342
55	78	341
56	79	339
57	80	337
58	82	335
59	83	334
60	85	333
61	86	332
62	88	331
63	89	329
64	90	328
65	92	326
66	93	325
67	94	323
68	96	321
69	97	320
70	98	318
71	100	317
72	101	315
73	103	314
74	104	313
75	105	311
76	107	309
77	108	308
78	109	306
79	111	305
80	112	304
81	113	302
82	115	300
83	116	299
84	117	298
85	119	297
86	120	295
87	122	294
88	123	293
89	125	291
90	126	291
91	128	290
92	129	288
93	131	287
94	132	285
95	133	283
96	135	282
97	136	281
98	137	279
99	139	278
100	140	277
101	141	275
102	143	273
103	144	272
104	145	271
105	147	269
106	148	268
107	150	266
108	151	265
109	152	264
110	154	262
111	155	261
112	156	259
113	158	258
114	159	256
115	161	256
116	162	254
117	164	253
118	165	251
119	166	250
120	168	248
121	169	247
122	170	245
123	172	244
124	173	243
125	174	241
126	176	240
127	177	238
128	179	237
129	180	236
130	181	234
131	183	233
132	184	231
133	186	230
134	187	229
135	188	227
136	190	226
137	191	224
138	193	223
139	194	222
140	195	220
141	196	219
142	198	217
143	199	216
144	200	214
145	202	213
146	203	211
147	204	210
148	206	209
149	207	207
150	209	206
151	210	204
152	211	203
153	212	201
154	214	200
155	215	198
156	216	197
157	218	196
158	219	194
159	220	193
160	222	191
161	223	190
162	224	188
163	226	187
164	227	186
165	229	184
166	230	183
167	231	181
168	232	180
169	234	179
170	235	177
171	236	176
172	238	174
173	239	173
174	241	172
175	242	170
176	243	169
177	245	168
178	246	166
179	247	165
180	249	163
181	250	162
182	251	161
183	253	159
184	254	158
185	255	156
186	257	155
187	258	154
188	260	152
189	261	151
190	262	150
191	264	148
192	265	147
193	266	145
194	268	144
195	269	143
196	270	141
197	272	140
198	273	138
199	275	137
200	276	136
201	278	134
202	279	133
203	280	132
204	282	130
205	283	129
206	284	128
207	286	126
208	287	125
209	289	123
210	290	122
211	291	121
212	293	119
213	294	118
214	295	116
215	297	115
216	298	114
217	299	112
218	301	111
219	302	110
220	304	108
221	305	107
222	306	105
223	308	104
224	309	103
225	310	101
226	312	100
227	313	98
228	314	97
229	316	96
230	317	94
231	318	93
232	320	92
233	321	90
234	322	89
235	324	87
236	325	86
237	326	85
238	328	83
239	329	82
240	330	81
241	332	79
242	333	78
243	335	76
244	336	75
245	337	74
246	339	72
247	340	71
248	342	70
249	343	68
250	344	67
251	346	65
252	347	64
253	348	63
254	350	61
255	351	60
256	353	59
257	354	57
258	355	56
259	357	54
260	358	53
261	360	52
262	361	50
263	362	49
264	364	48
265	365	46
266	367	45
267	368	44
268	369	42
269	371	41
270	372	39
271	374	38
272	375	37
273	376	35
274	378	34
275	379	32
276	380	31
277	382	30
278	383	28
279	385	27
280	386	26
281	388	24
282	389	23
283	390	22
284	392	20
285	393	19
286	394	17
287	396	16
288	397	15
289	399	13
290	400	12
291	401	11
292	403	9
293	404	8
294	406	6
295	407	5
296	408	4
297	410	2
298	411	1
299	412	0
